0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:00:45 -0300] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.web.data.layer.SQLViewNewPage?7&wsName=capatsig&storeName=capatsig HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:00:53 -0300] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.web.data.layer.SQLViewNewPage?wsName=capatsig&storeName=capatsig HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:01:02 -0300] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.web.GeoServerLoginPage HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:01:53 -0300] "POST /geoserver/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:01:53 -0300] "GET /geoserver/web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:01:54 -0300] "GET /geoserver/web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:01:54 -0300] "GET /geoserver/web/?2 HTTP/1.1" 200 4755
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:01:59 -0300] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.wms.web.data.StylePage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:01:59 -0300] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.wms.web.data.StylePage?5 HTTP/1.1" 200 6209
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:02:13 -0300] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.wms.web.data.StyleNewPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2018:14:02:14 -0300] "GET /geoserver/web/wicket/bookmarkable/org.geoserver.wms.web.data.StyleNewPage?6 HTTP/1.1" 200 8653
